fdc_id,source,version,url,description,display_name,preparation,aliases,kcal,protein_g,fat_g,carbs_g,energy_nutrient_id
2768188,USDA FoodData Central Foundation Foods,2026-04-30,https://fdc.nal.usda.gov/food-details/2768188/nutrients,"Alaska Pollock, raw","Alaska Pollock, raw",raw,,78.4785,17.33,0.9925,0.0565,2047
2262074,USDA FoodData Central Foundation Foods,2026-04-30,https://fdc.nal.usda.gov/food-details/2262074/nutrients,"Almond butter, creamy","Almond butter, creamy",,,602.510076,20.78734,53.04,21.23666,2048
2257045,USDA FoodData Central Foundation Foods,2026-04-30,https://fdc.nal.usda.gov/food-details/2257045/nutrients,"Almond milk, unsweetened, plain, refrigerated","Almond milk, unsweetened, plain, refrigerated",,,19.33,0.65625,1.558,0.67075,2047
1999631,USDA FoodData Central Foundation Foods,2026-04-30,https://fdc.nal.usda.gov/food-details/1999631/nutrients,"Almond milk, unsweetened, plain, shelf stable","Almond milk, unsweetened, plain, shelf stable",,,14.5562,0.5546875,1.221,0.3371125,2048
2747652,USDA FoodData Central Foundation Foods,2026-04-30,https://fdc.nal.usda.gov/food-details/2747652/nutrients,"Anchovies, canned in olive oil, with salt, drained","Anchovies, canned in olive oil, with salt, drained",canned in olive oil,,206.065,26.9375,9.853,2.4095,2047
2003590,USDA FoodData Central Foundation Foods,2026-04-30,https://fdc.nal.usda.gov/food-details/2003590/nutrients,"Apple juice, with added vitamin C, from concentrate, shelf stable","Apple juice, with added vitamin C, from concentrate, shelf stable",,,47.231814,0.0859375,0.2863,11.3639625,2048
1750340,USDA FoodData Central Foundation Foods,2026-04-30,https://fdc.nal.usda.gov/food-details/1750340/nutrients,"Apples, fuji, with skin, raw","Apples, fuji, with skin, raw",raw,,58.20306,0.1484375,0.1625,15.6511625,2048
1750341,USDA FoodData Central Foundation Foods,2026-04-30,https://fdc.nal.usda.gov/food-details/1750341/nutrients,"Apples, gala, with skin, raw","Apples, gala, with skin, raw",raw,,54.866865,0.1328125,0.15,14.7680875,2048
1750342,USDA FoodData Central Foundation Foods,2026-04-30,https://fdc.nal.usda.gov/food-details/1750342/nutrients,"Apples, granny smith, with skin, raw","Apples, granny smith, with skin, raw",raw,,52.958085,0.265625,0.1375,14.142975,2048
1750343,USDA FoodData Central Foundation Foods,2026-04-30,https://fdc.nal.usda.gov/food-details/1750343/nutrients,"Apples, honeycrisp, with skin, raw","Apples, honeycrisp, with skin, raw",raw,,54.033225,0.1015625,0.1,14.6819375,2048
1750339,USDA FoodData Central Foundation Foods,2026-04-30,https://fdc.nal.usda.gov/food-details/1750339/nutrients,"Apples, red delicious, with skin, raw","Apples, red delicious, with skin, raw",raw,,55.622745,0.1875,0.2125,14.7817,2048
2346414,USDA FoodData Central Foundation Foods,2026-04-30,https://fdc.nal.usda.gov/food-details/2346414/nutrients,"Applesauce, unsweetened, with added vitamin C","Applesauce, unsweetened, with added vitamin C",,,46.4205,0.2734375,0.1625,12.2615625,2048
2710815,USDA FoodData Central Foundation Foods,2026-04-30,https://fdc.nal.usda.gov/food-details/2710815/nutrients,"Apricot, with skin, raw","Apricot, with skin, raw",raw,,43.47915,0.96125,0.405,10.23875,2048
2710822,USDA FoodData Central Foundation Foods,2026-04-30,https://fdc.nal.usda.gov/food-details/2710822/nutrients,"Arugula, baby, raw","Arugula, baby, raw",raw,,25.9078525,1.64875,0.325,5.36825,2048
2710823,USDA FoodData Central Foundation Foods,2026-04-30,https://fdc.nal.usda.gov/food-details/2710823/nutrients,"Asparagus, green, raw","Asparagus, green, raw",raw,,23.529215,1.4375,0.2163,5.1012,2048
2710824,USDA FoodData Central Foundation Foods,2026-04-30,https://fdc.nal.usda.gov/food-details/2710824/nutrients,"Avocado, Hass, peeled, raw","Avocado, Hass, peeled, raw",raw,,206.0493,1.8125,20.31,8.3235,2048
1105073,USDA FoodData Central Foundation Foods,2026-04-30,https://fdc.nal.usda.gov/food-details/1105073/nutrients,"Bananas, overripe, raw","Bananas, overripe, raw",raw,,77,0.73,0.22,20.1,2048
1105314,USDA FoodData Central Foundation Foods,2026-04-30,https://fdc.nal.usda.gov/food-details/1105314/nutrients,"Bananas, ripe and slightly ripe, raw","Bananas, ripe and slightly ripe, raw",raw,,88,0.74,0.29,23.0,2048
2644285,USDA FoodData Central Foundation Foods,2026-04-30,https://fdc.nal.usda.gov/food-details/2644285/nutrients,"Beans, black, canned, sodium added, drained and rinsed","Beans, black, canned, sodium added, drained and rinsed",canned,,115.28233,6.9125,1.273,19.8135,2048
2644287,USDA FoodData Central Foundation Foods,2026-04-30,https://fdc.nal.usda.gov/food-details/2644287/nutrients,"Beans, cannellini, canned, sodium added, drained and rinsed","Beans, cannellini, canned, sodium added, drained and rinsed",canned,,112.0972,7.4125,1.169,18.8185,2048
2644281,USDA FoodData Central Foundation Foods,2026-04-30,https://fdc.nal.usda.gov/food-details/2644281/nutrients,"Beans, cannellini, dry","Beans, cannellini, dry",,,336.59519,21.5625,2.199,59.7955,2048
2644294,USDA FoodData Central Foundation Foods,2026-04-30,https://fdc.nal.usda.gov/food-details/2644294/nutrients,"Beans, great northern, canned, sodium added, drained and rinsed","Beans, great northern, canned, sodium added, drained and rinsed",canned,,113.66287,7.03125,1.266,19.32875,2048
2644289,USDA FoodData Central Foundation Foods,2026-04-30,https://fdc.nal.usda.gov/food-details/2644289/nutrients,"Beans, kidney, dark red, canned, sodium added, sugar added, drained and rinsed","Beans, kidney, dark red, canned, sodium added, sugar added, drained and rinsed",canned,,123.17082,7.8,1.256,21.03,2048
2644290,USDA FoodData Central Foundation Foods,2026-04-30,https://fdc.nal.usda.gov/food-details/2644290/nutrients,"Beans, kidney, light red, canned, sodium added, sugar added, drained and rinsed","Beans, kidney, light red, canned, sodium added, sugar added, drained and rinsed",canned,,123.51359,7.30625,1.299,21.44675,2048
2644286,USDA FoodData Central Foundation Foods,2026-04-30,https://fdc.nal.usda.gov/food-details/2644286/nutrients,"Beans, navy, canned, sodium added, drained and rinsed","Beans, navy, canned, sodium added, drained and rinsed",canned,,115.82665,6.56875,1.398,19.98325,2048
2644292,USDA FoodData Central Foundation Foods,2026-04-30,https://fdc.nal.usda.gov/food-details/2644292/nutrients,"Beans, pinto, canned, sodium added, drained and rinsed","Beans, pinto, canned, sodium added, drained and rinsed",canned,,113.59675,6.69375,1.266,19.60025,2048
321611,USDA FoodData Central Foundation Foods,2026-04-30,https://fdc.nal.usda.gov/food-details/321611/nutrients,"Beans, snap, green, canned, regular pack, drained solids","Beans, snap, green, canned, regular pack, drained solids",canned,,20,1.04,0.39,4.11,2048
2346400,USDA FoodData Central Foundation Foods,2026-04-30,https://fdc.nal.usda.gov/food-details/2346400/nutrients,"Beans, snap, green, raw","Beans, snap, green, raw",raw,,33.5679465,1.96875,0.275,7.41245,2048
2646174,USDA FoodData Central Foundation Foods,2026-04-30,https://fdc.nal.usda.gov/food-details/2646174/nutrients,"Beef, chuck, roast, boneless, choice, raw","Beef, chuck, roast, boneless, choice, raw",raw,,237.096894,18.4,17.8,0,2048
2646175,USDA FoodData Central Foundation Foods,2026-04-30,https://fdc.nal.usda.gov/food-details/2646175/nutrients,"Beef, flank, steak, boneless, choice, raw","Beef, flank, steak, boneless, choice, raw",raw,,169.562744,20.13125,9.399,0,2048
2514744,USDA FoodData Central Foundation Foods,2026-04-30,https://fdc.nal.usda.gov/food-details/2514744/nutrients,"Beef, ground, 80% lean meat / 20% fat, raw","Beef, ground, 80% lean meat / 20% fat, raw",raw,,247.812675,17.53125,19.44,0,2048
2514743,USDA FoodData Central Foundation Foods,2026-04-30,https://fdc.nal.usda.gov/food-details/2514743/nutrients,"Beef, ground, 90% lean meat / 10% fat, raw","Говяжий фарш 90/10, сырой",raw,говядина|говяжий фарш|говяжий фарш сырой,190.134819,18.15625,12.85,0,2048
